AllCCS ID,Name,Structure,Formula,Type,Adduct,m/z,CCS,Confidence level,Update date
AllCCS00001017,Nicergoline,CN1C=C2CC3(C(CC(CN3C)(COC(C4=CC(=CN=C4)Br)=O)[H])(C=5C=CC=C1C25)OC)[H],C24H26BrN3O3,Experimental CCS,[M+H]+,484.1231,213.8,3,2019-08-12
AllCCS00001018,Levamisole,C1=CC=C(C=C1)C2(CN3CCSC3=N2)[H],C11H12N2S,Experimental CCS,[M+H]+,205.0794,141.9,Conflict,2022-10-08
AllCCS00001018,Levamisole,C1=CC=C(C=C1)C2(CN3CCSC3=N2)[H],C11H12N2S,Experimental CCS,[M+Na]+,227.0614,154.2,3,2022-10-08
AllCCS00001019,Cefuroxime,CON=C(C1=CC=CO1)C(=NC2(C(N3C(=C(COC(=N)O)CSC23[H])C(=O)O)=O)[H])O,C16H16N4O8S,Experimental CCS,[M+Na]+,447.0582,189.7,3,2019-08-12
AllCCS00001020,Ethoxzolamide,CCOC=1C=CC2=C(C1)SC(=N2)S(N)(=O)=O,C9H10N2O3S2,Experimental CCS,[M+H]+,259.0206,152.7,3,2019-08-12
AllCCS00001021,Trimetozine,COC=1C=C(C=C(C1OC)OC)C(N2CCOCC2)=O,C14H19NO5,Experimental CCS,[M+H]+,282.1336,164.5,3,2019-08-12
AllCCS00001022,Zoxazolamine,C1=CC2=C(C=C1Cl)NC(=N)O2,C7H5ClN2O,Experimental CCS,[M+H]+,169.0163,129.7,3,2019-08-12
AllCCS00001023,Amsacrine,COC=1C=C(C=CC1N=C2C3=CC=CC=C3NC4=CC=CC=C42)NS(C)(=O)=O,C21H19N3O3S,Experimental CCS,[M+H]+,394.122,193.1,3,2019-08-12
AllCCS00001024,Nomifensine,CN1CC(C2=CC=CC=C2)C=3C=CC=C(C3C1)N,C16H18N2,Experimental CCS,[M+H]+,239.1543,155.5,3,2019-08-12
AllCCS00001025,Pergolide,CCCN1CC(CC2(C=3C=CC=C4C3C(CC21[H])=CN4)[H])(CSC)[H],C19H26N2S,Experimental CCS,[M+H]+,315.189,177.4,3,2019-08-12
AllCCS00001026,Simvastatin,CCC(C)(C)C(=O)OC1(CC(C)(C=C2C=CC(C)(C(CCC3(CC(CC(=O)O3)(O)[H])[H])(C21[H])[H])[H])[H])[H],C25H38O5,Experimental CCS,[M-H2O+H]+,401.2686,199.6,3,2019-08-12
AllCCS00001027,Oxcarbazepine,C1=CC=C2C(=C1)CC(C3=CC=CC=C3N2C(=N)O)=O,C15H12N2O2,Experimental CCS,[M+H]+,253.0972,154.3,2,2022-10-07
AllCCS00001028,Lobendazole,CCOC(=NC1=NC2=CC=CC=C2N1)O,C10H11N3O2,Experimental CCS,[M+H]+,206.0924,141.7,3,2019-08-12
AllCCS00001029,Meloxicam,CC1=CN=C(N=C(C2=C(C3=CC=CC=C3S(N2C)(=O)=O)O)O)S1,C14H13N3O4S2,Experimental CCS,[M+H]+,352.042,174.7,2,2022-10-08
AllCCS00001030,Carvedilol,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,C24H26N2O4,Experimental CCS,[M+H]+,407.1966,189.1,3,2019-08-12
AllCCS00001031,Gatifloxacin,CC1CN(CCN1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F,C19H22FN3O4,Experimental CCS,[M+H]+,376.1667,189.5,3,2019-08-12
AllCCS00001032,Miglitol,C(CO)N1CC(C(C(C1(CO)[H])(O)[H])(O)[H])(O)[H],C8H17NO5,Experimental CCS,[M+H]+,208.118,141.0,3,2019-08-12
AllCCS00001033,Nalidixic acid,CCN1C=C(C(C=2C=CC(C)=NC21)=O)C(=O)O,C12H12N2O3,Experimental CCS,[M+H]+,233.0921,145.1,Conflict,2022-10-08
AllCCS00001033,Nalidixic acid,CCN1C=C(C(C=2C=CC(C)=NC21)=O)C(=O)O,C12H12N2O3,Experimental CCS,[M+Na]+,255.0741,160.6,2,2022-10-08
AllCCS00001034,Fluvastatin,CC(C)N1C2=CC=CC=C2C(C3=CC=C(C=C3)F)=C1C(=C(C(CC(CC(=O)O)(O)[H])(O)[H])[H])[H],C24H26FNO4,Experimental CCS,[M+H]+,412.1919,200.6,3,2019-08-12
AllCCS00001035,Ifosfamide,C1CN(CCCl)P(NCCCl)(=O)OC1,C7H15Cl2N2O2P,Experimental CCS,[M+H]+,261.0321,147.3,2,2022-10-07
AllCCS00001035,Ifosfamide,C1CN(CCCl)P(NCCCl)(=O)OC1,C7H15Cl2N2O2P,Experimental CCS,[M+Na]+,283.0141,158.7,3,2022-10-07
AllCCS00001036,Oxibendazole,CCCOC=1C=CC2=C(C1)NC(=N2)N=C(O)OC,C12H15N3O3,Experimental CCS,[M+H]+,250.1186,159.5,2,2022-10-08
AllCCS00001036,Oxibendazole,CCCOC=1C=CC2=C(C1)NC(=N2)N=C(O)OC,C12H15N3O3,Experimental CCS,[M+Na]+,272.1006,173.5,3,2022-10-08
AllCCS00001037,Quipazine Maleate,C1=CC=C2C(=C1)C=CC(=N2)N3CCNCC3,C13H15N3,Experimental CCS,[M+H]+,214.1339,146.6,3,2019-08-12
AllCCS00001038,Quetiapine,C1=CC=C2C(=C1)C(=NC3=CC=CC=C3S2)N4CCN(CC4)CCOCCO,C21H25N3O2S,Experimental CCS,[M+H]+,384.174,191.5,3,2019-08-12
AllCCS00001039,Rizatriptan,CN(C)CCC1=CNC=2C=CC(=CC12)CN3C=NC=N3,C15H19N5,Experimental CCS,[M+H]+,270.1713,160.6,3,2019-08-12
AllCCS00001040,Famciclovir,CC(=O)OCC(CCN1C=NC2=CNC(=N)N=C21)COC(C)=O,C14H19N5O4,Experimental CCS,[M+H]+,322.151,168.4,3,2019-08-12
AllCCS00001041,Acyclovir,C(COCN1C=NC2=C1NC(=N)N=C2O)O,C8H11N5O3,Experimental CCS,[M+H]+,226.0935,146.5,3,2019-08-12
AllCCS00001042,Nicotinyl alcohol,C1=CC(=CN=C1)CO,C6H7NO,Experimental CCS,[M+H]+,110.0601,119.9,3,2019-08-12
AllCCS00001043,Mefloquine,C1CCNC(C1)(C(C2=CC(C(F)(F)F)=NC3=C2C=CC=C3C(F)(F)F)(O)[H])[H],C17H16F6N2O,Experimental CCS,[M+H]+,379.124,181.8,3,2019-08-12
AllCCS00001044,Celecoxib,CC1=CC=C(C=C1)C2=CC(C(F)(F)F)=NN2C3=CC=C(C=C3)S(N)(=O)=O,C17H14F3N3O2S,Experimental CCS,[M+H]+,382.0832,186.1,3,2019-08-12
AllCCS00001045,Ezetimibe,C=1C=C(C=CC1C(CCC2(C(C3=CC=C(C=C3)O)(N(C4=CC=C(C=C4)F)C2=O)[H])[H])(O)[H])F,C24H21F2NO3,Experimental CCS,[M+Na]+,432.1382,213.6,3,2019-08-12
AllCCS00001046,Ceftibuten,C(CC(=O)O)(=C(C1=CSC(=N)N1)C(=NC2(C(N3C(=CCSC23[H])C(=O)O)=O)[H])O)[H],C15H14N4O6S2,Experimental CCS,[M+H]+,411.0428,191.4,3,2019-08-12
AllCCS00001047,Cefdinir,C=CC=1CSC2(C(C(N2C1C(=O)O)=O)(N=C(C(C3=CSC(=N)N3)=NO)O)[H])[H],C14H13N5O5S2,Experimental CCS,[M+H]+,396.0431,190.5,3,2019-08-12
AllCCS00001048,Etomidate,CCOC(C1=CN=CN1C(C)C2=CC=CC=C2)=O,C14H16N2O2,Experimental CCS,[M+H]+,245.1285,155.9,3,2019-08-12
AllCCS00001049,Deracoxib,COC=1C=CC(=CC1F)C2=CC(C(F)F)=NN2C3=CC=C(C=C3)S(N)(=O)=O,C17H14F3N3O3S,Experimental CCS,[M+H]+,398.0781,189.9,3,2019-08-12
AllCCS00001050,Loratadine,CCOC(N1CCC(CC1)=C2C3=CC=C(C=C3CCC=4C=CC=NC42)Cl)=O,C22H23ClN2O2,Experimental CCS,[M+H]+,383.1521,185.8,3,2019-08-12
AllCCS00001051,Bendroflumethiazide,C1=CC=C(C=C1)CC2NC=3C=C(C(=CC3S(N2)(=O)=O)S(N)(=O)=O)C(F)(F)F,C15H14F3N3O4S2,Experimental CCS,[M+H]+,422.0451,188.6,3,2019-08-12
AllCCS00001052,Ceftriaxone,CN1C(=NC(C(N1)=O)=O)SCC=2CSC3(C(C(N3C2C(=O)O)=O)(N=C(C(C4=CSC(=N)N4)=NOC)O)[H])[H],C18H18N8O7S3,Experimental CCS,[M+H]+,555.0534,213.7,2,2022-10-08
AllCCS00001052,Ceftriaxone,CN1C(=NC(C(N1)=O)=O)SCC=2CSC3(C(C(N3C2C(=O)O)=O)(N=C(C(C4=CSC(=N)N4)=NOC)O)[H])[H],C18H18N8O7S3,Experimental CCS,[M-H]-,553.0388,214.0,3,2022-10-08
AllCCS00001053,Trimipramine,CC(CN(C)C)CN1C2=CC=CC=C2CCC3=CC=CC=C31,C20H26N2,Experimental CCS,[M+H]+,295.2169,169.9,3,2019-08-12
AllCCS00001054,Triflupromazine,CN(C)CCCN1C2=CC=CC=C2SC=3C=CC(=CC31)C(F)(F)F,C18H19F3N2S,Experimental CCS,[M+H]+,353.1294,175.6,3,2019-08-12
AllCCS00001055,Albendazole,CCCSC=1C=CC2=C(C1)NC(=N2)N=C(O)OC,C12H15N3O2S,Experimental CCS,[M+H]+,266.0958,164.3,2,2022-10-08
AllCCS00001055,Albendazole,CCCSC=1C=CC2=C(C1)NC(=N2)N=C(O)OC,C12H15N3O2S,Experimental CCS,[M+Na]+,288.0778,178.8,3,2022-10-08
AllCCS00001056,Alfuzosin,CN(CCCN=C(C1CCCO1)O)C2=NC3=CC(=C(C=C3C(=N)N2)OC)OC,C19H27N5O4,Experimental CCS,[M+H]+,390.2136,193.9,3,2019-08-12
AllCCS00001057,Oxaprozin,C1=CC=C(C=C1)C2=C(C3=CC=CC=C3)OC(CCC(=O)O)=N2,C18H15NO3,Experimental CCS,[M+H]+,294.1125,169.7,3,2019-08-12
AllCCS00001058,Oxfendazole,COC(=NC1=NC=2C=CC(=CC2N1)S(C3=CC=CC=C3)=O)O,C15H13N3O3S,Experimental CCS,[M+H]+,316.0751,175.7,2,2022-10-08
AllCCS00001058,Oxfendazole,COC(=NC1=NC=2C=CC(=CC2N1)S(C3=CC=CC=C3)=O)O,C15H13N3O3S,Experimental CCS,[M+Na]+,338.0571,195.4,3,2022-10-08
AllCCS00001059,Lansoprazole,CC1=C(CS(C2=NC3=CC=CC=C3N2)=O)N=CC=C1OCC(F)(F)F,C16H14F3N3O2S,Experimental CCS,[M+H]+,370.0832,185.8,3,2019-08-12
AllCCS00001060,Morantel Citrate,CC=1C=CSC1C(=C(C2=NCCCN2C)[H])[H],C12H16N2S,Experimental CCS,[M+H]+,221.1107,149.9,2,2022-10-08
AllCCS00001061,Perphenazine,C1=CC=C2C(=C1)N(CCCN3CCN(CC3)CCO)C=4C=C(C=CC4S2)Cl,C21H26ClN3OS,Experimental CCS,[M+H]+,404.1558,192.0,3,2019-08-12
AllCCS00001062,Flumazenil,CCOC(C1=C2CN(C)C(C=3C=C(C=CC3N2C=N1)F)=O)=O,C15H14FN3O3,Experimental CCS,[M+H]+,304.1092,165.6,3,2019-08-12
AllCCS00001063,Azelastine,CN1CCCC(CC1)N2C(C3=CC=CC=C3C(CC4=CC=C(C=C4)Cl)=N2)=O,C22H24ClN3O,Experimental CCS,[M+H]+,382.1681,192.7,3,2019-08-12
AllCCS00001064,Brompheniramine,CN(C)CCC(C1=CC=C(C=C1)Br)C2=CC=CC=N2,C16H19BrN2,Experimental CCS,[M+H]+,319.0805,166.3,3,2019-08-12
AllCCS00001065,Paroxetine,C=1C=C(C=CC1C2(CCNCC2(COC=3C=CC4=C(C3)OCO4)[H])[H])F,C19H20FNO3,Experimental CCS,[M+H]+,330.15,182.3,2,2022-10-08
AllCCS00001066,Perhexiline,C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3,C19H35N,Experimental CCS,[M+H]+,278.2843,179.8,3,2019-08-12
AllCCS00001067,Nisoldipine,CC(C)COC(C1=C(C)NC(C)=C(C1C2=CC=CC=C2N(=O)=O)C(=O)OC)=O,C20H24N2O6,Experimental CCS,[M+H]+,389.1707,187.2,3,2019-08-12
AllCCS00001068,Benzoxiquine,C1=CC=C(C=C1)C(=O)OC2=CC=CC=3C=CC=NC32,C16H11NO2,Experimental CCS,[M+H]+,250.0863,153.8,3,2019-08-12
AllCCS00001069,Clemizole Hydrochloride,C1=CC=C2C(=C1)N=C(CN3CCCC3)N2CC4=CC=C(C=C4)Cl,C19H20ClN3,Experimental CCS,[M+H]+,326.1419,179.8,3,2019-08-12
AllCCS00001070,Aminothiazole,C1=CSC(=N)N1,C3H4N2S,Experimental CCS,[M+H]+,101.0168,117.2,3,2019-08-12
AllCCS00001071,Aminopterin,C=1C=C(C=CC1C(NC(CCC(=O)O)C(=O)O)=O)NCC=2C=NC=3C(=C(N)NC(=N)N3)N2,C19H20N8O5,Experimental CCS,[M+H]+,441.163,204.4,3,2019-08-12
AllCCS00001072,Piribedil,C1=CN=C(N=C1)N2CCN(CC2)CC=3C=CC4=C(C3)OCO4,C16H18N4O2,Experimental CCS,[M+H]+,299.1503,171.1,3,2019-08-12
AllCCS00001073,Meticrane,CC1=CC=2CCCS(C2C=C1S(N)(=O)=O)(=O)=O,C10H13NO4S2,Experimental CCS,[M+H]+,276.0359,159.4,3,2019-08-12
AllCCS00001074,Pimethixene Maleate,CN1CCC(CC1)=C2C3=CC=CC=C3SC4=CC=CC=C42,C19H19NS,Experimental CCS,[M+H]+,294.1311,169.1,3,2019-08-12
AllCCS00001075,Sulmazole,COC=1C=C(C=CC1C2=NC=3C=CC=NC3N2)S(C)=O,C14H13N3O2S,Experimental CCS,[M+H]+,288.0801,166.4,3,2019-08-12
AllCCS00001076,Itraconazole,CCC(C)(N1C(N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5(COC(CN6C=NC=N6)(C=7C=CC(=CC7Cl)Cl)O5)[H])=O)[H],C35H38Cl2N8O4,Experimental CCS,[M+H]+,705.2466,248.8,3,2019-08-12
AllCCS00001077,Ceftazidime,CC(C)(C(=O)[O-])ON=C(C1=CSC(=N)N1)C(=NC2(C(N3C(=C(C[N+]4=CC=CC=C4)CSC23[H])C(=O)O)=O)[H])O,C22H22N6O7S2,Experimental CCS,[M+H]+,547.1064,218.2,3,2019-08-12
AllCCS00001078,Aripiprazole,C(CCOC=1C=CC=2CCC(=NC2C1)O)CN3CCN(CC3)C4=CC=CC(=C4Cl)Cl,C23H27Cl2N3O2,Experimental CCS,[M+H]+,448.1553,203.5,3,2019-08-12
AllCCS00001079,Hydrastinine Hydrochloride,CN1CCC2=CC3=C(C=C2C1O)OCO3,C11H13NO3,Experimental CCS,[M-H2O+H]+,190.0862,134.9,3,2019-08-12
AllCCS00001080,Naftopidil,COC1=CC=CC=C1N2CCN(CC2)CC(COC3=CC=CC4=CC=CC=C43)O,C24H28N2O3,Experimental CCS,[M+H]+,393.2173,195.5,3,2019-08-12
AllCCS00001081,Ramifenazone,CC(C)NC1=C(C)N(C)N(C2=CC=CC=C2)C1=O,C14H19N3O,Experimental CCS,[M+H]+,246.1601,156.5,3,2019-08-12
AllCCS00001082,Hexetidine,CCCCC(CC)CN1CC(C)(CN(CC(CC)CCCC)C1)N,C21H45N3,Experimental CCS,[M+H]+,340.3686,194.0,3,2019-08-12
AllCCS00001083,Fipexide Hydrochloride,C1=CC2=C(C=C1CN3CCN(CC3)C(COC4=CC=C(C=C4)Cl)=O)OCO2,C20H21ClN2O4,Experimental CCS,[M+H]+,389.1263,189.3,3,2019-08-12
AllCCS00001084,Ethacridine Lactate,CCOC=1C=CC2=C(C1)C(C=3C=CC(=CC3N2)N)=N,C15H15N3O,Experimental CCS,[M+H]+,254.1288,156.3,3,2019-08-12
AllCCS00001085,Telenzepine Hydrochloride,CC1=C2C(=CS1)C(=NC3=CC=CC=C3N2C(CN4CCN(C)CC4)=O)O,C19H22N4O2S,Experimental CCS,[M+H]+,371.1536,179.4,3,2019-08-12
AllCCS00001086,Metergoline,CN1CC(CC2(C=3C=CC=C4C3C(CC21[H])=CN4C)[H])(CN=C(O)OCC5=CC=CC=C5)[H],C25H29N3O2,Experimental CCS,[M+H]+,404.2333,197.6,3,2019-08-12
AllCCS00001087,Ornidazole,CC1=NC=C(N1CC(CCl)O)N(=O)=O,C7H10ClN3O3,Experimental CCS,[M+H]+,220.0484,143.1,2,2022-10-08
AllCCS00001088,Orbifloxacin,CC1(CN(CC(C)(N1)[H])C2=C(C(=C3C(=C2F)N(C=C(C3=O)C(=O)O)C4CC4)F)F)[H],C19H20F3N3O3,Experimental CCS,[M+H]+,396.153,198.1,2,2022-10-08
AllCCS00001088,Orbifloxacin,CC1(CN(CC(C)(N1)[H])C2=C(C(=C3C(=C2F)N(C=C(C3=O)C(=O)O)C4CC4)F)F)[H],C19H20F3N3O3,Experimental CCS,[M+Na]+,418.135,206.1,3,2022-10-08
AllCCS00001089,Zaprinast,CCCOC1=CC=CC=C1C2=NC3=C(C(=N2)O)N=NN3,C13H13N5O2,Experimental CCS,[M+H]+,272.1142,159.2,3,2019-08-12
AllCCS00001090,Idazoxan,C1=CC=C2C(=C1)OCC(C3=NCCN3)O2,C11H12N2O2,Experimental CCS,[M+H]+,205.0972,142.8,3,2019-08-12
AllCCS00001091,Piromidic Acid,CCN1C=C(C(C2=CN=C(N=C21)N3CCCC3)=O)C(=O)O,C14H16N4O3,Experimental CCS,[M+H]+,289.1295,161.1,3,2019-08-12
AllCCS00001092,Amrinone,C=1C=NC=CC1C2=CC(=C(N=C2)O)N,C10H9N3O,Experimental CCS,[M+H]+,188.0819,139.0,3,2019-08-12
AllCCS00001093,Dropropizine,C1=CC=C(C=C1)N2CCN(CC2)CC(CO)O,C13H20N2O2,Experimental CCS,[M+H]+,237.1598,155.7,3,2019-08-12
AllCCS00001094,6-Aminonicotinamide,C1=CC(=N)NC=C1C(=N)O,C6H7N3O,Experimental CCS,[M+H]+,138.0662,125.7,3,2019-08-12
AllCCS00001095,Carbimazole,CCOC(N1C=CN(C)C1=S)=O,C7H10N2O2S,Experimental CCS,[M+H]+,187.0536,134.4,3,2019-08-12
AllCCS00001096,Nifenazone,CC1=C(C(N(C2=CC=CC=C2)N1C)=O)N=C(C=3C=CC=NC3)O,C17H16N4O2,Experimental CCS,[M+H]+,309.1346,172.5,3,2019-08-12
AllCCS00001097,Nipecotic Acid,C1CC(CNC1)C(=O)O,C6H11NO2,Experimental CCS,[M+H]+,130.0863,124.6,3,2019-08-12
AllCCS00001098,Buspirone,C1CCC2(C1)CC(N(CCCCN3CCN(CC3)C4=NC=CC=N4)C(C2)=O)=O,C21H31N5O2,Experimental CCS,[M+H]+,386.2551,197.7,3,2019-08-12
AllCCS00001099,4-Hydroxyantipyrine,CC1=C(C(N(C2=CC=CC=C2)N1C)=O)O,C11H12N2O2,Experimental CCS,[M+H]+,205.0972,141.4,3,2019-08-12
AllCCS00001100,Loxapine,CN1CCN(CC1)C=2C=3C=C(C=CC3OC4=CC=CC=C4N2)Cl,C18H18ClN3O,Experimental CCS,[M+H]+,328.1211,176.4,3,2019-08-12
AllCCS00000701,Ethambutol,CCC(CO)(NCCNC(CC)(CO)[H])[H],C10H24N2O2,Experimental CCS,[M+H]+,205.1911,147.0,3,2019-08-12
AllCCS00000702,Cyclophosphamide,C1CNP(N(CCCl)CCCl)(=O)OC1,C7H15Cl2N2O2P,Experimental CCS,[M+H]+,261.0321,146.9,2,2022-10-07
AllCCS00000702,Cyclophosphamide,C1CNP(N(CCCl)CCCl)(=O)OC1,C7H15Cl2N2O2P,Experimental CCS,[M+Na]+,283.0141,155.2,3,2022-10-07
AllCCS00000703,Guanethidine,C1CCCN(CCC1)CCNC(=N)N,C10H22N4,Experimental CCS,[M+H]+,199.1917,144.2,3,2019-08-12
AllCCS00000704,Procyclidine,C1=CC=C(C=C1)C(CCN2CCCC2)(C3CCCCC3)O,C19H29NO,Experimental CCS,[M+H]+,288.2322,171.5,3,2019-08-12
AllCCS00000705,betahistine,CNCCC1=CC=CC=N1,C8H12N2,Experimental CCS,[M+H]+,137.1073,126.0,3,2019-08-12
AllCCS00000706,Phentolamine,CC1=CC=C(C=C1)N(CC2=NCCN2)C=3C=CC=C(C3)O,C17H19N3O,Experimental CCS,[M+H]+,282.1601,172.1,3,2019-08-12
AllCCS00000707,Dipyridamole,C1CCN(CC1)C=2C3=C(C(=NC(=N3)N(CCO)CCO)N4CCCCC4)N=C(N2)N(CCO)CCO,C24H40N8O4,Experimental CCS,[M+H]+,505.3246,223.9,3,2019-08-12
AllCCS00000708,Disulfiram,CCN(CC)C(=S)SSC(N(CC)CC)=S,C10H20N2S4,Experimental CCS,[M+H]+,297.0582,165.5,3,2019-08-12
AllCCS00000709,Levocarnitine,C[N+](C)(C)CC(CC(=O)[O-])(O)[H],C7H15NO3,Experimental CCS,[M+H]+,162.1125,132.9,1,2019-08-12
AllCCS00000710,Thiram,CN(C)C(=S)SSC(N(C)C)=S,C6H12N2S4,Experimental CCS,[M+H]+,240.9956,148.4,3,2022-10-08
AllCCS00000710,Thiram,CN(C)C(=S)SSC(N(C)C)=S,C6H12N2S4,Experimental CCS,[M+HCOO]-,284.9865,149.5,3,2022-10-08
AllCCS00000711,Octodrine,CC(C)CCCC(C)N,C8H19N,Experimental CCS,[M+H]+,130.159,134.7,3,2019-08-12
AllCCS00000712,Biperiden,C1=CC=C(C=C1)C(CCN2CCCCC2)(C3CC4C=CC3C4)O,C21H29NO,Experimental CCS,[M+H]+,312.2322,175.7,3,2019-08-12
AllCCS00000713,Altretamine,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,C9H18N6,Experimental CCS,[M+H]+,211.1666,145.6,3,2019-08-12
AllCCS00000714,Methapyrilene,CN(C)CCN(CC1=CC=CS1)C2=CC=CC=N2,C14H19N3S,Experimental CCS,[M+H]+,262.1373,157.2,3,2019-08-12
AllCCS00000715,Carnitine (Dl) Hydrochloride,C[N+](C)(C)CC(CC(=O)[O-])O,C7H15NO3,Experimental CCS,[M+H]+,162.1125,132.9,3,2019-08-12
AllCCS00000716,Maprotiline,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C42,C20H23N,Experimental CCS,[M+H]+,278.1903,163.5,3,2019-08-12
AllCCS00000717,Pramocaine,CCCCOC1=CC=C(C=C1)OCCCN2CCOCC2,C17H27NO3,Experimental CCS,[M+H]+,294.2064,178.8,3,2019-08-12
AllCCS00000718,Sulfachlorpyridazine,C=1C=C(C=CC1N)S(NC=2C=CC(Cl)=NN2)(=O)=O,C10H9ClN4O2S,Experimental CCS,[M+H]+,285.0208,158.7,2,2022-10-08
AllCCS00000718,Sulfachlorpyridazine,C=1C=C(C=CC1N)S(NC=2C=CC(Cl)=NN2)(=O)=O,C10H9ClN4O2S,Experimental CCS,[M+Na]+,307.0028,171.7,3,2022-10-08
AllCCS00000719,Sulfadimethoxine,COC=1C=C(N=C(N1)OC)NS(C2=CC=C(C=C2)N)(=O)=O,C12H14N4O4S,Experimental CCS,[M+H]+,311.0809,168.7,2,2022-10-08
AllCCS00000719,Sulfadimethoxine,COC=1C=C(N=C(N1)OC)NS(C2=CC=C(C=C2)N)(=O)=O,C12H14N4O4S,Experimental CCS,[M+Na]+,333.0629,178.4,3,2022-10-08
AllCCS00000719,Sulfadimethoxine,COC=1C=C(N=C(N1)OC)NS(C2=CC=C(C=C2)N)(=O)=O,C12H14N4O4S,Experimental CCS,[M-H]-,309.0663,172.6,3,2022-10-08
AllCCS00000720,Sulfamonomethoxine,COC=1C=C(N=CN1)NS(C2=CC=C(C=C2)N)(=O)=O,C11H12N4O3S,Experimental CCS,[M+H]+,281.0703,159.5,3,2019-08-12
